	Timestamp	How would you rate your satisfaction with the Break Camp this week?	How well is the program paced?
0	6/30/2016 14:09:14	4	2
1	6/30/2016 22:50:08	3	3
2	7/1/2016 9:34:16	4	4
3	7/1/2016 10:42:17	4	3
4	7/1/2016 11:25:53	4	3
5	7/1/2016 11:57:11	5	3
6	7/1/2016 11:58:37	5	3
