,no_name,Timestamp,merit badge,rateing,pace,week_num,location
0,0,7/15/2016 13:30:19,rowing,2,1,4,SV
1,1,7/15/2016 13:31:54,rowing,3,3,4,SV
2,2,7/15/2016 13:35:36,rowing,4,4,4,SV
3,3,7/15/2016 13:58:34,rowing,4,3,4,SV
4,4,7/15/2016 14:01:42,rowing,5,3,4,SV
5,5,7/15/2016 14:09:14,rowing,4,3,4,SV
6,6,7/15/2016 14:10:40,rowing,4,3,4,SV
7,7,7/15/2016 14:15:40,rowing,4,3,4,SV
8,8,7/15/2016 14:26:18,rowing,4,2,4,SV
9,9,7/15/2016 15:54:39,rowing,4,4,4,SV
10,10,7/15/2016 15:54:51,rowing,3,3,4,SV
11,11,7/15/2016 15:55:54,rowing,4,4,4,SV
12,12,7/15/2016 15:55:56,rowing,5,3,4,SV
13,13,7/15/2016 15:56:10,rowing,4,3,4,SV
14,14,7/15/2016 15:56:18,rowing,5,3,4,SV
15,15,7/15/2016 15:57:37,rowing,3,4,4,SV
16,16,7/15/2016 15:57:50,rowing,4,3,4,SV
17,17,7/15/2016 15:58:36,rowing,4,4,4,SV
18,18,7/15/2016 15:58:47,rowing,4,4,4,SV
19,19,7/15/2016 16:03:01,rowing,4,4,4,SV
20,20,7/15/2016 16:06:23,rowing,5,3,4,SV
21,21,7/15/2016 16:21:10,rowing,5,4,4,SV
22,22,7/15/2016 16:23:07,rowing,5,3,4,SV
23,23,7/15/2016 16:55:20,rowing,4,4,4,SV
24,24,7/15/2016 17:11:41,rowing,5,1,4,SV
25,25,7/17/2016 9:52:10,rowing,5,3,4,SV
26,26,7/18/2016 10:35:56,rowing,4,3,4,SV
27,27,7/15/2016 13:56:01,astronomy,5,2,4,SV
28,28,7/15/2016 13:56:03,astronomy,5,3,4,SV
29,29,7/15/2016 13:58:40,astronomy,4,3,4,SV
30,30,7/15/2016 14:00:09,astronomy,4,4,4,SV
31,31,7/15/2016 14:00:41,astronomy,4,4,4,SV
32,32,7/15/2016 15:51:03,astronomy,5,5,4,SV
33,33,7/15/2016 15:57:04,astronomy,5,3,4,SV
34,34,7/15/2016 15:58:21,astronomy,3,3,4,SV
35,35,7/15/2016 14:03:03,rowing,5,4,4,SV
