,no_name,merit badge,Timestamp,rateing,pace,week_num,location
0,0,rowing,8/5/2016 11:13:01,5,5,7,SF
1,1,rowing,8/5/2016 11:17:11,3,3,7,SF
2,2,rowing,8/5/2016 11:17:52,5,3,7,SF
3,3,rowing,8/5/2016 11:18:01,5,4,7,SF
4,4,rowing,8/5/2016 11:20:15,4,3,7,SF
5,5,rowing,8/5/2016 11:21:10,5,3,7,SF
6,6,rowing,8/5/2016 12:11:04,5,3,7,SF
7,7,rowing,8/5/2016 19:14:21,4,4,7,SF
8,8,astronomy,8/5/2016 11:39:18,5,3,7,SF
9,9,astronomy,8/5/2016 12:27:18,5,4,7,SF
10,10,rowing,8/5/2016 11:20:43,4,3,7,SF
11,11,rowing,8/5/2016 11:38:52,4,4,7,SF
12,12,rowing,8/5/2016 11:56:23,5,3,7,SF
13,13,rowing,8/5/2016 12:35:08,5,3,7,SF
14,14,rowing,8/7/2016 10:45:47,4,5,7,SF
15,15,computer programing,8/5/2016 11:21:38,5,3,7,SF
16,16,computer programing,8/8/2016 8:35:18,1,3,7,SF
17,17,computer programing,8/8/2016 8:39:01,3,5,7,SF
18,18,computer programing,8/8/2016 9:41:39,2,2,7,SF
