,no_name,merit badge,Timestamp,rateing,pace,week_num,location
0,0,rowing,7/1/2016 16:35:14,2,3,2,SF
1,1,rowing,7/1/2016 16:10:55,3,2,2,SF
2,2,rowing,7/1/2016 17:00:26,3,3,2,SF
3,3,rowing,7/3/2016 14:53:37,3,3,2,SF
4,4,rowing,7/1/2016 15:35:19,4,2,2,SF
5,5,rowing,7/1/2016 15:51:23,4,2,2,SF
6,6,rowing,7/1/2016 16:07:02,4,5,2,SF
7,7,rowing,7/1/2016 16:07:26,4,3,2,SF
8,8,rowing,7/1/2016 16:08:19,4,4,2,SF
9,9,rowing,7/1/2016 16:12:30,4,4,2,SF
10,10,rowing,7/1/2016 16:19:32,4,3,2,SF
11,11,rowing,7/1/2016 16:21:07,4,5,2,SF
12,12,rowing,7/1/2016 16:41:10,4,3,2,SF
13,13,rowing,7/1/2016 17:06:05,4,3,2,SF
14,14,rowing,7/1/2016 17:18:27,4,3,2,SF
15,15,rowing,7/1/2016 19:06:08,4,2,2,SF
16,16,rowing,7/2/2016 0:32:56,4,3,2,SF
17,17,rowing,7/1/2016 16:05:40,5,3,2,SF
18,18,rowing,7/1/2016 16:07:13,5,2,2,SF
19,19,rowing,7/1/2016 16:07:24,5,3,2,SF
20,20,rowing,7/1/2016 16:07:58,5,3,2,SF
21,21,rowing,7/1/2016 16:07:58,5,4,2,SF
22,22,rowing,7/1/2016 16:08:49,5,3,2,SF
23,23,rowing,7/1/2016 16:10:20,5,3,2,SF
24,24,rowing,7/1/2016 16:10:46,5,2,2,SF
25,25,rowing,7/1/2016 16:12:17,5,3,2,SF
26,26,rowing,7/1/2016 16:19:33,5,4,2,SF
27,27,rowing,7/1/2016 16:22:03,5,3,2,SF
28,28,astronomy,7/1/2016 16:10:34,4,4,2,SF
29,29,astronomy,7/1/2016 16:23:13,4,5,2,SF
30,30,astronomy,7/1/2016 16:07:04,5,3,2,SF
31,31,astronomy,7/1/2016 16:15:04,5,3,2,SF
32,32,astronomy,7/1/2016 16:15:41,5,3,2,SF
33,33,astronomy,7/1/2016 16:16:13,5,3,2,SF
34,34,astronomy,7/1/2016 16:17:34,5,3,2,SF
35,35,astronomy,7/1/2016 16:18:02,5,3,2,SF
36,36,astronomy,7/1/2016 16:18:02,5,3,2,SF
37,37,rowing,7/1/2016 15:40:51,3,3,2,SF
38,38,rowing,7/1/2016 15:38:22,4,2,2,SF
39,39,rowing,7/1/2016 15:40:24,4,3,2,SF
40,40,rowing,7/1/2016 15:40:28,4,3,2,SF
41,41,rowing,7/1/2016 15:42:15,4,3,2,SF
42,42,rowing,7/1/2016 15:49:06,4,4,2,SF
43,43,rowing,7/1/2016 15:50:59,4,4,2,SF
44,44,rowing,7/1/2016 16:20:36,4,4,2,SF
45,45,rowing,7/1/2016 17:13:25,4,4,2,SF
46,46,rowing,7/5/2016 9:48:32,4,3,2,SF
47,47,rowing,7/5/2016 16:07:37,4,4,2,SF
48,48,rowing,7/5/2016 16:10:40,4,3,2,SF
49,49,rowing,7/5/2016 16:11:11,4,3,2,SF
50,50,rowing,7/1/2016 16:24:01,5,4,2,SF
51,51,rowing,7/4/2016 18:31:39,5,3,2,SF
52,52,rowing,7/5/2016 9:39:22,5,3,2,SF
53,53,rowing,7/5/2016 10:15:27,5,3,2,SF
54,54,rowing,7/5/2016 16:09:01,5,3,2,SF
55,55,computer programing,7/2/2016 12:45:15,1,3,2,SF
56,56,computer programing,7/2/2016 12:49:55,2,3,2,SF
57,57,computer programing,7/5/2016 12:00:21,2,3,2,SF
58,58,computer programing,7/1/2016 15:35:33,5,3,2,SF
59,59,computer programing,7/2/2016 21:55:49,5,3,2,SF
60,60,computer programing,7/5/2016 11:30:35,5,3,2,SF
61,61,computer programing,7/5/2016 18:24:11,5,3,2,SF
