,no_name,merit badge,Timestamp,rateing,pace,week_num,location
0,0,rowing,7/8/2016 15:56:20,3,2,3,SF
1,1,rowing,7/8/2016 16:02:55,5,3,3,SF
2,2,rowing,7/8/2016 16:19:51,3,3,3,SF
3,3,rowing,7/8/2016 16:34:12,1,3,3,SF
4,4,rowing,7/8/2016 16:39:27,5,2,3,SF
5,5,rowing,7/8/2016 16:46:21,5,5,3,SF
6,6,rowing,7/8/2016 17:33:28,3,5,3,SF
7,7,rowing,7/9/2016 14:23:38,5,3,3,SF
8,8,rowing,7/10/2016 20:55:08,5,3,3,SF
9,9,astronomy,7/8/2016 15:58:04,5,3,3,SF
10,10,astronomy,7/8/2016 16:08:03,5,4,3,SF
11,11,rowing,7/8/2016 15:55:12,5,3,3,SF
12,12,rowing,7/8/2016 15:56:10,4,3,3,SF
13,13,rowing,7/8/2016 15:58:45,4,3,3,SF
14,14,rowing,7/8/2016 16:40:17,4,4,3,SF
15,15,rowing,7/8/2016 18:34:39,5,3,3,SF
16,16,rowing,7/9/2016 8:14:45,5,3,3,SF
17,17,computer programing,7/8/2016 16:23:15,5,3,3,SF
18,18,computer programing,7/8/2016 16:27:30,4,4,3,SF
19,19,computer programing,7/8/2016 17:18:49,1,5,3,SF
20,20,computer programing,7/8/2016 19:14:34,4,4,3,SF
21,21,rowing,7/11/2016 12:10:26,3,4,3,SF
22,22,rowing,7/11/2016 12:39:56,4,4,3,SF
