,no_name,Timestamp,merit badge,rateing,pace,week_num,location
0,0,7/29/2016 13:46:28,rowing,4,3,6,SV
1,1,7/29/2016 13:52:16,rowing,5,3,6,SV
2,2,7/29/2016 16:10:41,rowing,5,4,6,SV
3,3,7/29/2016 15:10:27,rowing,4,3,6,SV
4,4,7/29/2016 14:18:21,rowing,3,3,6,SV
5,5,7/29/2016 15:25:45,rowing,3,3,6,SV
6,6,7/29/2016 16:41:48,rowing,4,3,6,SV
7,7,7/29/2016 15:26:20,rowing,5,3,6,SV
8,8,7/29/2016 13:20:33,rowing,2,2,6,SV
9,9,7/29/2016 13:24:45,rowing,4,3,6,SV
10,10,7/29/2016 13:47:43,rowing,3,3,6,SV
11,11,7/29/2016 15:31:26,rowing,5,3,6,SV
12,12,7/29/2016 15:28:06,rowing,5,2,6,SV
13,13,7/29/2016 13:44:38,astronomy,3,3,6,SV
14,14,7/29/2016 15:36:04,astronomy,4,3,6,SV
15,15,7/29/2016 13:26:06,astronomy,4,3,6,SV
16,16,7/29/2016 15:02:27,astronomy,5,3,6,SV
17,17,7/29/2016 15:15:48,astronomy,4,3,6,SV
18,18,7/29/2016 13:35:17,astronomy,4,4,6,SV
19,19,7/29/2016 13:27:19,astronomy,4,4,6,SV
20,20,7/29/2016 14:40:29,astronomy,3,4,6,SV
21,21,7/29/2016 15:06:33,astronomy,4,3,6,SV
22,22,7/29/2016 15:17:23,astronomy,4,4,6,SV
23,23,7/29/2016 13:23:48,astronomy,4,2,6,SV
24,24,7/29/2016 13:17:25,rowing,5,3,6,SV
25,25,7/29/2016 13:19:14,rowing,5,2,6,SV
26,26,7/29/2016 13:17:38,rowing,5,3,6,SV
27,27,7/29/2016 13:46:22,rowing,5,4,6,SV
28,28,7/29/2016 13:21:13,rowing,3,4,6,SV
29,29,7/29/2016 13:11:56,rowing,4,3,6,SV
30,30,7/29/2016 13:15:55,rowing,4,3,6,SV
31,31,7/29/2016 13:16:10,rowing,4,3,6,SV
32,32,7/29/2016 13:19:58,rowing,4,3,6,SV
33,33,7/29/2016 13:17:35,rowing,5,3,6,SV
34,34,7/29/2016 13:24:51,rowing,4,2,6,SV
