	Timestamp	What Marrit Badge?	How would you rate your satisfaction with the Break Camp this week?	How well is the program paced?
0	7/29/2016 13:46:28	Rowing	4	3
1	7/29/2016 13:52:16	Rowing	5	3
2	7/29/2016 16:10:41	Rowing	5	4
3	7/29/2016 15:10:27	Rowing	4	3
4	7/29/2016 14:18:21	Rowing	3	3
5	7/29/2016 15:25:45	Rowing	3	3
6	7/29/2016 16:41:48	Rowing	4	3
7	7/29/2016 15:26:20	Rowing	5	3
8	7/29/2016 13:20:33	Rowing	2	2
9	7/29/2016 13:24:45	Rowing	4	3
10	7/29/2016 13:47:43	Rowing	3	3
11	7/29/2016 15:31:26	Rowing	5	3
12	7/29/2016 15:28:06	Rowing	5	2
13	7/29/2016 13:44:38	Astrnomy	3	3
14	7/29/2016 15:36:04	Astrnomy	4	3
15	7/29/2016 13:26:06	Astrnomy	4	3
16	7/29/2016 15:02:27	Astrnomy	5	3
17	7/29/2016 15:15:48	Astrnomy	4	3
18	7/29/2016 13:35:17	Astrnomy	4	4
19	7/29/2016 13:27:19	Astrnomy	4	4
20	7/29/2016 14:40:29	Astrnomy	3	4
21	7/29/2016 15:06:33	Astrnomy	4	3
22	7/29/2016 15:17:23	Astrnomy	4	4
23	7/29/2016 13:23:48	Astrnomy	4	2
24	7/29/2016 13:17:25	Intro Rowing	5	3
25	7/29/2016 13:19:14	Intro Rowing	5	2
26	7/29/2016 13:17:38	Intro Rowing	5	3
27	7/29/2016 13:46:22	Intro Rowing	5	4
28	7/29/2016 13:21:13	Intro Rowing	3	4
29	7/29/2016 13:11:56	Intro Rowing	4	3
30	7/29/2016 13:15:55	Intro Rowing	4	3
31	7/29/2016 13:16:10	Intro Rowing	4	3
32	7/29/2016 13:19:58	Intro Rowing	4	3
33	7/29/2016 13:17:35	Intro Rowing	5	3
34	7/29/2016 13:24:51	Intro Rowing	4	2
