	Timestamp	How would you rate your satisfaction with the Break Camp this week?	How well is the program paced?
0	7/22/2016 1:30:17	4	3
1	7/22/2016 1:36:59	4	3
2	7/22/2016 1:42:08	4	4
3	7/22/2016 1:49:13	4	3
4	7/22/2016 1:50:35	4	4
5	7/22/2016 3:08:20	4	3
6	7/22/2016 19:26:57	4	3
7	7/22/2016 22:37:46	3	3
8	7/23/2016 18:59:21	4	3
9	7/23/2016 23:28:39	4	3
10	7/24/2016 11:16:24	2	2
