	Timestamp	What Marrit Badge?	How would you rate your satisfaction with the Break Camp this week?	How well is the program paced?
0	7/22/2016 13:29:33	Rowing	5	5
1	7/22/2016 13:35:20	Rowing	5	3
2	7/22/2016 13:36:39	Rowing	4	3
3	7/22/2016 13:37:15	Rowing	4	3
4	7/22/2016 13:40:21	Rowing	5	3
5	7/22/2016 13:44:52	Rowing	4	4
6	7/22/2016 13:50:50	Astrnomy	3	5
7	7/22/2016 13:50:50	Rowing	4	4
8	7/22/2016 13:51:22	Rowing	5	4
9	7/22/2016 13:51:35	Astrnomy	4	3
10	7/22/2016 13:51:36	Rowing	4	3
11	7/22/2016 13:51:44	Astrnomy	4	4
12	7/22/2016 13:52:05	Intro Rowing	4	3
13	7/22/2016 13:52:19	Rowing	4	3
14	7/22/2016 13:52:41	Astrnomy	5	3
15	7/22/2016 13:53:19	Rowing	4	3
16	7/22/2016 13:53:31	Astrnomy	5	3
17	7/22/2016 13:53:56	Rowing	4	3
18	7/22/2016 13:54:46	Astrnomy	5	3
19	7/22/2016 13:54:52	Rowing	5	3
20	7/22/2016 13:57:13	Astrnomy	4	3
