	Timestamp	What Marrit Badge?	How would you rate your satisfaction with the Break Camp this week?	How well is the program paced?
0	7/8/2016 12:52:08	Astrnomy	5	2
1	7/9/2016 15:22:45	Rowing	5	3
2	7/8/2016 21:26:01	Astrnomy	4	3
3	7/8/2016 13:52:01	Rowing	4	3
4	7/8/2016 14:00:28	Rowing	4	4
5	7/8/2016 14:42:40	Rowing	5	3
6	7/8/2016 14:03:46	Rowing	4	4
7	7/8/2016 16:40:10	Rowing	3	4
8	7/8/2016 13:58:12	Rowing	4	4
9	7/8/2016 13:53:19	Rowing	3	4
10	7/8/2016 15:59:30	Rowing	3	2
11	7/8/2016 16:11:32	Rowing	5	4
12	7/8/2016 12:49:05	Astrnomy	5	5
13	7/8/2016 12:49:16	Astrnomy	4	3
14	7/8/2016 12:47:42	Astrnomy	5	3
15	7/8/2016 12:43:44	Intro Rowing	5	3
16	7/8/2016 13:55:51	Rowing	4	3
17	7/8/2016 14:02:54	Astrnomy	5	3
18	7/8/2016 14:29:22	Astrnomy	5	3
19	7/9/2016 17:05:33	Astrnomy	5	2
20	7/8/2016 16:55:21	Rowing	3	3
21	7/8/2016 16:08:13	Astrnomy	3	3
22	7/8/2016 13:56:39	Rowing	4	3
23	7/8/2016 14:03:35	Rowing	4	2
24	7/8/2016 13:51:14	Astrnomy	4	5
25	7/8/2016 12:41:10	Intro Rowing	4	4
26	7/8/2016 12:41:13	Intro Rowing	4	4
27	7/8/2016 12:41:51	Intro Rowing	4	3
28	7/8/2016 12:43:35	Intro Rowing	4	3
29	7/8/2016 12:45:11	Intro Rowing	4	3
30	7/8/2016 12:47:39	Intro Rowing	4	3
31	7/8/2016 13:01:58	Intro Rowing	4	4
32	7/10/2016 23:44:41	Astrnomy	4	4
33		Average:	#REF!	#REF!
34	7/8/2016 16:41:06	Rowing	5	3
35	7/8/2016 13:07:39	Astrnomy	5	3
36	7/8/2016 12:45:02	Intro Rowing	5	3
