	Timestamp	What Marrit Badge?	How would you rate your satisfaction with the Break Camp this week?	How well is the program paced?
0	8/5/2016 12:34:16	Rowing	3	3
1	8/5/2016 12:35:50	Rowing	5	3
2	8/5/2016 12:36:31	Astrnomy	5	3
3	8/5/2016 12:36:55	Astrnomy	4	3
4	8/5/2016 12:37:12	Rowing	4	3
5	8/5/2016 12:37:15	Intro Rowing	4	4
6	8/5/2016 12:39:02	Rowing	5	3
7	8/5/2016 12:39:13	Astrnomy	5	4
8	8/5/2016 12:43:00	Astrnomy	4	3
9	8/5/2016 12:43:35	Rowing	4	3
10	8/5/2016 12:45:05	Intro Rowing	5	3
11	8/5/2016 12:45:58	Astrnomy	3	3
12	8/5/2016 12:46:09	Astrnomy	5	4
13	8/5/2016 13:04:11	Rowing	4	3
14	8/5/2016 13:13:02	Intro Rowing	4	3
15	8/5/2016 13:37:41	Rowing	4	3
16	8/5/2016 13:39:55	Intro Rowing	5	4
