	What Marrit Badge?	Timestamp	How would you rate your satisfaction with the Break Camp this week?	How well is the program paced?
0	Rowing	8/5/2016 11:13:01	5	5
1	Rowing	8/5/2016 11:17:11	3	3
2	Rowing	8/5/2016 11:17:52	5	3
3	Rowing	8/5/2016 11:18:01	5	4
4	Rowing	8/5/2016 11:20:15	4	3
5	Rowing	8/5/2016 11:21:10	5	3
6	Rowing	8/5/2016 12:11:04	5	3
7	Rowing	8/5/2016 19:14:21	4	4
8	Astrnomy	8/5/2016 11:39:18	5	3
9	Astrnomy	8/5/2016 12:27:18	5	4
10	Intro Rowing	8/5/2016 11:20:43	4	3
11	Intro Rowing	8/5/2016 11:38:52	4	4
12	Intro Rowing	8/5/2016 11:56:23	5	3
13	Intro Rowing	8/5/2016 12:35:08	5	3
14	Intro Rowing	8/7/2016 10:45:47	4	5
15	Computer Programing	8/5/2016 11:21:38	5	3
16	Computer Programing	8/8/2016 8:35:18	1	3
17	Computer Programing	8/8/2016 8:39:01	3	5
18	Computer Programing	8/8/2016 9:41:39	2	2
