	What Marrit Badge?	Timestamp	How would you rate your satisfaction with the Break Camp this week?	How well is the program paced?
0	Rowing	7/8/2016 15:56:20	3	2
1	Rowing	7/8/2016 16:02:55	5	3
2	Rowing	7/8/2016 16:19:51	3	3
3	Rowing	7/8/2016 16:34:12	1	3
4	Rowing	7/8/2016 16:39:27	5	2
5	Rowing	7/8/2016 16:46:21	5	5
6	Rowing	7/8/2016 17:33:28	3	5
7	Rowing	7/9/2016 14:23:38	5	3
8	Rowing	7/10/2016 20:55:08	5	3
9	Astrnomy	7/8/2016 15:58:04	5	3
10	Astrnomy	7/8/2016 16:08:03	5	4
11	Intro Rowing	7/8/2016 15:55:12	5	3
12	Intro Rowing	7/8/2016 15:56:10	4	3
13	Intro Rowing	7/8/2016 15:58:45	4	3
14	Intro Rowing	7/8/2016 16:40:17	4	4
15	Intro Rowing	7/8/2016 18:34:39	5	3
16	Intro Rowing	7/9/2016 8:14:45	5	3
17	Computer Programing	7/8/2016 16:23:15	5	3
18	Computer Programing	7/8/2016 16:27:30	4	4
19	Computer Programing	7/8/2016 17:18:49	1	5
20	Computer Programing	7/8/2016 19:14:34	4	4
21	Intro Rowing	7/11/2016 12:10:26	3	4
22	Intro Rowing	7/11/2016 12:39:56	4	4
