	Timestamp	How would you rate your satisfaction with the Break Camp this week?	How well is the program paced?
0	7/15/2016 2:45:00	4	3
1	7/15/2016 2:45:11	4	4
2	7/15/2016 2:48:37	3	3
3	7/15/2016 2:53:18	4	3
4	7/15/2016 2:56:09	3	4
5	7/15/2016 4:37:33	4	3
6	7/15/2016 19:59:23	4	3
7	7/15/2016 20:46:14	3	4
8	7/17/2016 19:06:22	4	3
